Project,Repo,Bug-Fixing Commit,Changed Files,Can Determine,Bug-Inducing Commits,Num Bug-Inducing,Num Buggy Statements,Token Cost,LLM Calls,Elapsed Time (s)
commons-lang,apache/commons-lang,72dd504e6f9d22574652baf31075d369692a085a,,False,,0,0,0,6,36.05
commons-lang,apache/commons-lang,02f510c2043c1e25cc412777ecc2e3e4f648316c,src/java/org/apache/commons/lang/mutable/MutableByte.java;src/java/org/apache/commons/lang/mutable/MutableDouble.java;src/java/org/apache/commons/lang/mutable/MutableInt.java;src/java/org/apache/commons/lang/mutable/MutableShort.java;src/java/org/apache/commons/lang/mutable/MutableBoolean.java,False,c58bbaaa4b638934494bfe02802890a28e178e7d;7ec96c4306dc8eb6082b92597f2626f7b33931d4;fbeb9d58da6d83b00dc0bb75244c5309b55caa9b,3,11,0,37,521.64
commons-lang,apache/commons-lang,eff43864b34ab2be2eae4e9ac0e780d34fab57b3,src/main/java/org/apache/commons/lang3/time/DateUtils.java,False,127869e88f248da9bea3ba20beb620c7f2479abb,1,5,0,28,277.83
commons-lang,apache/commons-lang,575965b1ba7aa595844706c02bb81229a69462c0,src/main/java/org/apache/commons/lang3/time/DateUtils.java,False,49e68a3f962c0b8e0ac80743db5eecb1b493c9e6,1,4,0,29,359.85
commons-lang,apache/commons-lang,59a679310a39331c4c54e8858408f5213f70dbc2,src/main/java/org/apache/commons/lang3/BooleanUtils.java;src/main/java/org/apache/commons/lang3/function/TriConsumer.java;src/main/java/org/apache/commons/lang3/Range.java;src/main/java/org/apache/commons/lang3/math/Fraction.java;src/main/java/org/apache/commons/lang3/ArrayUtils.java;src/main/java/org/apache/commons/lang3/StringUtils.java;src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java;src/main/java/org/apache/commons/lang3/SystemProperties.java;src/main/java/org/apache/commons/lang3/builder/EqualsBuilder.java;src/main/java/org/apache/commons/lang3/time/DateUtils.java,False,e298d0bd81d118f8d46c495e5cd4b3f014b22151;3ae9877d1ab6f74a9f088039b05f06e00a33b100,2,10,0,87,1712.74
commons-lang,apache/commons-lang,cff5ccf8b0b19da504ccd5fff017f5b543051fd2,src/changes/changes.xml,False,,0,0,0,12,33.81
commons-lang,apache/commons-lang,972aa7b29a7cb7306b9e0737bac86fa42d6218ac,src/main/java/org/apache/commons/lang3/StringUtils.java,False,7cb81aa26f1afcfa7b2babd7b3e7ff9a4e8b5733,1,9,0,33,374.14
commons-lang,apache/commons-lang,10658442a5c96dfb4f51170e7b08dbd1dec44371,,False,,0,0,0,18,223.73
commons-lang,apache/commons-lang,a38e2e942d622c1a84ed35bedb9aba045db7ab79,src/java/org/apache/commons/lang/text/ExtendedMessageFormat.java,False,565d75665fd6eb993b840f2e1b1f2dbd0b9e1af7,1,9,0,33,259.88
commons-lang,apache/commons-lang,caf3f0c3c3d2308f6a61554cfabae429b6efc760,src/java/org/apache/commons/lang/concurrent/ConcurrentUtils.java,False,,0,3,0,27,230.42
commons-lang,apache/commons-lang,60316ebfe10520c0e4e9be0c41405cb1d3a62e44,src/test/java/org/apache/commons/lang3/builder/ReflectionDiffBuilderTest.java,False,629a83c6c477cdddc58f395786d607ec46fe1d31,1,9,0,21,138.96
commons-lang,apache/commons-lang,a0de4149790f97283643b6e7980faaa3a5ed5ab7,src/main/java/org/apache/commons/lang3/time/DateFormatUtils.java,False,,0,0,0,15,102.31
commons-lang,apache/commons-lang,386af293e1f460d19ee4e5b8ddf795e302f16934,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,False,8089a0c2d3207ed26531f877352336baf1c6c5bb,1,15,0,21,127.39
commons-lang,apache/commons-lang,a0f9db28319f45feb56982d21239fed451b6c3ef,,False,,0,0,0,6,32.28
commons-lang,apache/commons-lang,8b494b784dca4de7d79c58e0f00dd4756c04cf89,src/main/java/org/apache/commons/lang3/text/StrSubstitutor.java,True,22c37d530734969c473fcc26278d6cb92bd622d0,1,3,0,24,116.47
commons-lang,apache/commons-lang,bd25bdcf802194e39ab101c47a8b16f996d47b9e,src/changes/changes.xml,False,,0,0,0,12,48.61
commons-lang,apache/commons-lang,f7d2bdd24db0aa9e8ad44b706c5d60c92b6825ca,RELEASE-NOTES.txt,False,,0,0,0,12,37.37
commons-lang,apache/commons-lang,2367948a0f7bbcf42cb3ef9d97216319a526d3eb,src/main/java/org/apache/commons/lang3/time/FastDateParser.java,False,d971fa4cf7f3c7e7cd4bdbaa3662c1014731d95f;cc340ad2eb6a783f6abe8d02f2c32bb02b01505c,2,6,0,33,223.88
commons-lang,apache/commons-lang,d2fb3b0865a87cc909e4faab7733f993356141e2,src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,False,f5026c122d042e316fe1ee6314de6e8cab2708c5,1,6,0,33,328.07
commons-lang,apache/commons-lang,4240de53b3252e4cf0d45fe55feae4e009565d6b,src/main/java/org/apache/commons/lang3/StringUtils.java,False,899e67f0de51deef0b4a826ed3c484fe710deb46,1,3,0,33,427.93
commons-lang,apache/commons-lang,c614fbcc79615f93d2c60a153db6e82d7474c425,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,True,e8db7237a9c347d2225fce9b49ff92bb741adffa,1,11,0,36,214.18
commons-lang,apache/commons-lang,7c754d9c1e96c2a3e90e4bf632b421a43f235e22,src/changes/changes.xml,False,,0,0,0,12,46.38
commons-lang,apache/commons-lang,52c06bea2f2b6c277c517dc9f5bb0d62d17e073c,,False,,0,0,0,18,264.92
commons-lang,apache/commons-lang,3014a0f2c9b4f34625995bbbf16aca1ff445b8cf,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,False,69cb996265ba603e0be5b1c98097775f2467a6c2,1,18,0,33,254.27
commons-lang,apache/commons-lang,890af3816d22016bdd7dc2174821b517bfbc5b95,src/changes/changes.xml,False,,0,0,0,12,126.78
commons-lang,apache/commons-lang,1a158281aa058ee2dc9cfae3b56012a9f92f3b2b,src/java/org/apache/commons/lang/text/StrBuilder.java,False,1ae0107b3542815a86879738853d1a079310ae28,1,9,0,33,288.88
commons-lang,apache/commons-lang,1db449142ae9b9e1a8b40429edc904ff0f4b6a59,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,False,af6aba957f4dc4d19d5f295172b4ddc941ca1681,1,6,0,33,184.83
commons-lang,apache/commons-lang,b5749b4f54b30c0c2050e456c12cfcf516434f13,src/main/java/org/apache/commons/lang3/builder/HashCodeBuilder.java,False,486740b60a41dff62b75074e5d9a094ec207569f,1,6,0,33,406.34
commons-lang,apache/commons-lang,8d3f3b60fa9391ee66f1306fa57e51b221f76414,src/main/java/org/apache/commons/lang3/Range.java,True,0ad6c30b0ed57cd0a5a3c18725926570b4032db8,1,3,0,27,116.30
commons-lang,apache/commons-lang,f682f4b0f04379e726f14d03e76605f7dda106b4,src/java/org/apache/commons/lang/StringUtils.java,False,6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,1,3,0,15,58.56
commons-lang,apache/commons-lang,685e20421c7ad7b431bd6f15ad058b1129d332dd,src/main/java/org/apache/commons/lang/StringUtils.java,False,baff3dca7364ccf992a72fb026d53ea3afeb4104,1,9,0,33,260.78
commons-lang,apache/commons-lang,b82ab99340a46e28320d6b48dd1d5e6fc3bce98e,,False,,0,0,0,18,225.71
commons-lang,apache/commons-lang,353e06a8ac01542e1dfac877c5e05880ab2bb52c,src/main/java/org/apache/commons/lang3/StringUtils.java,False,87937b2e7192524306aa58d74c90537eec997cfa;320b0b259c855cb78d763912e532e1ec91c023f9,2,24,0,21,192.27
commons-lang,apache/commons-lang,c2260f094d78c236bb8a2e3e153d422c7d7ad6bf,src/main/java/org/apache/commons/lang3/CachedRandomBits.java;src/main/java/org/apache/commons/lang3/RandomStringUtils.java,False,f382d61a03778ccf838c6c051bd8692e4834dec2,1,6,0,35,472.94
commons-lang,apache/commons-lang,2595926918d8783b1507fded8a65ee3439048839,,False,,0,0,0,6,38.00
commons-lang,apache/commons-lang,c22d9d59e5b86c33f91d7fa93d71cdc514c2edd9,src/java/org/apache/commons/lang/StringEscapeUtils.java,False,47979b1a490998f652b0008f51463fb7438abf5e;6af3b80369a62de8f2ee501998d1bda4585758fd;4b0aeca9f298b593ab59f032d2dd0fe95e569927,3,405,0,33,289.57
commons-lang,apache/commons-lang,98581d3c41da2e92a505f47376a35f4329ac23eb,,False,,0,0,0,6,42.36
commons-lang,apache/commons-lang,6b4cb166081e019b87cd2b5a273a1567d3aff545,src/main/java/org/apache/commons/lang3/ArrayUtils.java,False,,0,0,0,27,369.35
commons-lang,apache/commons-lang,8767cd4f1a6af07093c1e6c422dae8e574be7e5e,,False,,0,0,0,6,30.27
commons-lang,apache/commons-lang,d8ec011d770e1e04ef4f87fba673f3748f363278,src/main/java/org/apache/commons/lang3/reflect/TypeUtils.java,False,7af67bdd16a4f103bbe6334c5a865436c900adfe,1,6,0,33,306.81
commons-lang,apache/commons-lang,5b601a3d6bb200494c4e8d1b82e6b8953bd4cfb9,src/java/org/apache/commons/lang/text/translate/NumericEntityEscaper.java,False,b4bdbdfe9c9dbc31e90ccf3ab37761e2abdae0f1,1,15,0,21,155.17
commons-lang,apache/commons-lang,a8f18fc98e7e840148abf4f711fcb8231469d3c7,src/changes/changes.xml,False,,0,0,0,12,75.77
commons-lang,apache/commons-lang,967fdd064c6d67774204d1b2e93301435f4d6a64,src/site/xdoc/index.xml,False,483a02a44c684b378f3e76920560e123c32989f7,1,12,0,24,395.58
commons-lang,apache/commons-lang,465e6becd8beda9569fbdc9ff44fac7dc3c5d1c6,src/main/java/org/apache/commons/lang3/StringUtils.java,False,e5e1339e444a2e0c0835b318a20b38c170de15d5,1,4,0,27,387.66
commons-lang,apache/commons-lang,bef3eb6ed060d5ae14da6ce5a1909675b8cf5650,src/main/java/org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,False,c404121979002fca1140b90fb909157549de286f,1,9,0,33,243.66
commons-lang,apache/commons-lang,4b034f96a111043cb5318886dcc6ebc623543b88,,False,,0,0,0,6,38.37
commons-lang,apache/commons-lang,fc409b5791ef8145a791cf7bd9b35d68a4ad3305,src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,False,49e68a3f962c0b8e0ac80743db5eecb1b493c9e6,1,18,0,21,205.45
commons-lang,apache/commons-lang,127e6e338f088b82eea1967d31c1abf8d51a364f,src/java/org/apache/commons/lang/time/FastDateFormat.java,False,c8f42adee295e7305dc8f9ac090e505c36f2d6b7;a99f7965b34b8dd0532c8d6f5e592d990ca220fc,2,21,0,33,349.09
commons-lang,apache/commons-lang,22500d11ae62c0d54021081d1909b504178e0276,src/main/java/org/apache/commons/lang3/exception/ExceptionUtils.java,False,f698f9e64e4305b3aa2f3ae75b747acab4de773d,1,9,0,21,170.87
commons-lang,apache/commons-lang,8acb1d2b42edcd65bebc94934395c511cc10f598,src/main/java/org/apache/commons/lang3/Validate.java;src/main/java/org/apache/commons/lang3/time/DurationFormatUtils.java;src/main/java/org/apache/commons/lang3/text/StrSubstitutor.java;src/main/java/org/apache/commons/lang3/text/StrMatcher.java,False,4f31ae757ce3e2ebee99af485050e4aa3a23f4f4;5111ae7db08a70323a51a21df0bbaf46f21e072e;abc5dda962fe00fba27f98807ca70439a37a3746;810e69f7a470eb9dce71de314f0a98c0f7840a24,4,5,0,41,374.91
commons-lang,apache/commons-lang,779828c9a2bb5c38c2cd99c2596ff8ba6b755dd8,src/main/java/org/apache/commons/lang3/Validate.java,False,08d51233f9777dcbd60445df1588eb8be8546fbe,1,9,0,27,406.87
commons-lang,apache/commons-lang,796b898281af571a510d96487dcd95699ac1e435,src/java/org/apache/commons/lang/BooleanUtils.java,False,f6a7697d25192411ef3059d9ef460f262467a3d0;d776d2688968a3da89f050235819936fae1436ae,2,15,0,33,234.11
commons-lang,apache/commons-lang,6ef494b6f4e5bfc17bf4fa2fd8f69dbc129378e8,,False,,0,0,0,6,79.98
commons-lang,apache/commons-lang,8ef8e2a7a5326eef6180951207f65d3c29bce419,src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,False,c404121979002fca1140b90fb909157549de286f,1,18,0,21,186.72
commons-lang,apache/commons-lang,a3a064587470d9ac3be469d0d6dd88f1b95dc669,,False,,0,0,0,6,44.51
commons-lang,apache/commons-lang,db9b110a7e968bbd585380e4d9289ab56f965fd0,src/java/org/apache/commons/lang3/text/StrLookup.java,False,7c7fea8957ca3b8f6890dcc6b1ae5b3979cd6ccd,1,12,0,21,179.99
commons-lang,apache/commons-lang,261334e5ae0832dcb722b129a1c9fd803e56984b,src/changes/changes.xml,False,63cc351c73be29a93c6e5df0cfb0c83cc8a77aae,1,3,0,12,51.60
commons-lang,apache/commons-lang,55a2a03aa30836c814b9c2d50d5081a52f01d83c,src/main/java/org/apache/commons/lang3/ArrayUtils.java,False,,0,0,0,27,253.04
commons-lang,apache/commons-lang,2afdf4d05e38f63b56b0414cf524916681ab58aa,src/main/java/org/apache/commons/lang3/StringUtils.java,False,,0,0,0,27,184.68
commons-lang,apache/commons-lang,6240a05c12914083adbe8c7c53e7e40ef42931dd,,False,,0,0,0,18,203.28
commons-lang,apache/commons-lang,f643b4fa939e89348618ddffae20a804f4461363,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,False,b01434196523fc67daa5d9379c4465b68961fd53;6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a;27bcbcc728434ffb2c45e81c0e75e6a3d6da3441;371e866442f46131cc38a9a5018e1703f52f9b60,4,10,0,23,1029.88
commons-lang,apache/commons-lang,d8b6f5b5c6b92adff8965ab634b672e7b333f583,src/java/org/apache/commons/lang/Entities.java,False,e08b9b890ff9ce8555589f927d05bf20ceb112b3,1,12,0,33,180.07
commons-lang,apache/commons-lang,2621600f8096da0a93b9ba33962233b9e2c2fc2d,src/main/java/org/apache/commons/lang3/ClassUtils.java,False,7d9d4d41a6327c813504e6da4df49fbff33dc02f,1,21,0,21,172.33
commons-lang,apache/commons-lang,e2b2d90b60b93bd4c4a1e3bcda6557f1d8917c0f,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,False,3c96b101bd04ab1d48c26edfa1ebbc47c02f274c,1,15,0,21,209.59
commons-lang,apache/commons-lang,f51299ced4fd40b44a3f6eca9ae528e818558205,src/main/java/org/apache/commons/lang3/builder/ReflectionDiffBuilder.java,False,011775551ef75d75f81189eb4604fd0f2ed424ba,1,18,0,33,341.15
commons-lang,apache/commons-lang,63cc351c73be29a93c6e5df0cfb0c83cc8a77aae,,False,,0,0,0,6,33.78
commons-lang,apache/commons-lang,4282efae5f4ab456cef3acac5574f13f4f450b9e,src/main/java/org/apache/commons/lang3/StringUtils.java,False,,0,0,0,15,81.20
commons-lang,apache/commons-lang,b12dad5230c9592b49da1a6458bd52717c22252c,src/main/java/org/apache/commons/lang3/function/FailablePredicate.java;src/main/java/org/apache/commons/lang3/function/FailableDoublePredicate.java;src/main/java/org/apache/commons/lang3/function/FailableBiPredicate.java;src/main/java/org/apache/commons/lang3/function/FailableLongPredicate.java;src/main/java/org/apache/commons/lang3/function/FailableIntPredicate.java,True,a881c3e22665f65d974063d0536fdfd75f45d0d3,1,3,0,63,339.04
commons-lang,apache/commons-lang,6f0dc1070c4413654b30b3537c67859bff17b76b,src/main/java/org/apache/commons/lang3/StringUtils.java,False,d5f32c231c74fd8945a7732aa6cb7631b5a82555,1,3,0,27,307.71
commons-lang,apache/commons-lang,6a02b5337be09bfba4a0af55f64c44fa46fda5b5,src/changes/changes.xml,False,,0,0,0,12,40.28
commons-lang,apache/commons-lang,ee1df50b6d39fcc08c3bff2ce17d3bb91e3dab72,src/java/org/apache/commons/lang/StringUtils.java,False,6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a;3e44b6f86f61cd4e7f49507a2f932acd9800fc43,2,15,0,33,222.46
commons-lang,apache/commons-lang,12c71a019faf874e22be3890b5687d757864755f,src/changes/changes.xml,False,,0,0,0,12,65.42
commons-lang,apache/commons-lang,a7fe1f5018c53ed3af8af0d404a346117aefb958,,False,,0,0,0,6,42.13
commons-lang,apache/commons-lang,bee5b923c54e59f877d392e35cb04ab62484c723,src/java/org/apache/commons/lang/math/NumberUtils.java,False,55be165435e580d169f6b4e9bc54f3da9cfc4f64,1,24,0,33,349.37
commons-lang,apache/commons-lang,f237b96638f519288d6ba07056b45d69c7e1f505,xdocs/developerguide.xml,False,f768e6d6b50f1b99ffb46ed0f928659540f2581a,1,3,0,12,51.94
commons-lang,apache/commons-lang,60fe05eb7a32a4a178f4212da6a812c80cedce82,src/java/org/apache/commons/lang/enum/Enum.java;src/java/org/apache/commons/lang/enums/Enum.java,False,ce06610103cc04fa8b2dd7b61d0ef685b8900eb1;116463ba4f988ad7dda289bf6e2ff53c6570f0ef;85cbed66ff3353d034568764cc91c30e1aafad26,3,11,0,39,346.09
commons-lang,apache/commons-lang,61580f2c01b0d184c6b14ebd339f694f9e861ecd,,False,,0,0,0,6,72.27
commons-lang,apache/commons-lang,7f48b196fde0cc16fdddbeecbb30a38fb79acfb5,src/main/java/org/apache/commons/lang/time/FastDateFormat.java,False,a99f7965b34b8dd0532c8d6f5e592d990ca220fc;73ee6c3d270a91bd447f732b24c4d65169b0c8d6,2,6,0,33,257.27
